iter	Passed	Remaining
406	6091	8875
407	6107	8861
408	6123	8848
409	6138	8833
410	6152	8817
411	6167	8802
412	6181	8786
413	6196	8770
414	6212	8757
415	6227	8742
416	6244	8729
417	6260	8716
418	6275	8701
419	6290	8687
420	6306	8673
421	6323	8660
422	6338	8646
423	6353	8630
424	6368	8616
425	6383	8601
426	6399	8587
427	6414	8573
428	6430	8558
429	6444	8542
430	6460	8529
431	6476	8514
432	6492	8501
433	6508	8488
434	6523	8473
435	6540	8460
436	6555	8445
437	6570	8430
438	6585	8415
439	6600	8400
440	6615	8385
441	6629	8369
442	6643	8353
443	6658	8338
444	6674	8323
445	6689	8309
446	6704	8294
447	6719	8278
448	6733	8263
449	6748	8247
450	6762	8231
451	6776	8215
452	6791	8201
453	6806	8185
454	6822	8172
455	6838	8158
456	6853	8142
457	6868	8128
458	6883	8113
459	6899	8099
460	6914	8084
461	6930	8071
462	6946	8056
463	6960	8041
464	6975	8025
465	6991	8011
466	7005	7995
467	7021	7981
468	7037	7967
469	7052	7952
470	7067	7937
471	7082	7922
472	7097	7907
473	7111	7892
474	7127	7877
475	7141	7861
476	7157	7847
477	7173	7833
478	7187	7818
479	7203	7803
480	7219	7789
481	7234	7774
482	7250	7760
483	7264	7744
484	7279	7729
485	7294	7714
486	7308	7698
487	7322	7682
488	7337	7667
489	7352	7652
490	7368	7638
491	7382	7622
492	7397	7607
493	7412	7592
494	7427	7577
495	7442	7562
496	7458	7548
497	7473	7534
498	7487	7517
499	7501	7501
500	7516	7486
501	7532	7472
502	7547	7457
503	7563	7443
504	7580	7430
505	7604	7424
506	7619	7409
507	7635	7394
508	7650	7379
509	7665	7364
510	7681	7350
511	7697	7336
512	7711	7320
513	7725	7305
514	7740	7289
515	7754	7273
516	7769	7258
517	7784	7243
518	7798	7227
519	7813	7212
520	7829	7197
521	7843	7182
522	7858	7167
523	7874	7153
524	7889	7138
525	7903	7122
526	7917	7106
527	7932	7091
528	7947	7075
529	7961	7060
530	7976	7045
531	7990	7029
532	8006	7014
533	8021	6999
534	8034	6983
535	8049	6968
536	8063	6952
537	8078	6937
538	8094	6922
539	8109	6908
540	8124	6892
541	8138	6877
542	8154	6863
543	8169	6848
544	8184	6833
545	8198	6817
546	8214	6802
547	8230	6788
548	8245	6773
549	8259	6757
550	8273	6742
551	8289	6727
552	8303	6711
553	8316	6695
554	8330	6679
555	8345	6664
556	8360	6649
557	8376	6635
558	8392	6620
559	8407	6606
560	8421	6590
561	8437	6576
562	8452	6561
563	8468	6546
564	8484	6532
565	8500	6518
566	8516	6503
567	8533	6490
568	8550	6476
569	8565	6461
570	8580	6446
571	8595	6431
572	8612	6417
573	8628	6404
574	8644	6389
575	8660	6374
576	8676	6360
577	8692	6346
578	8709	6332
579	8725	6318
580	8742	6304
581	8760	6291
582	8776	6277
