iter	Logloss
0	0.6363823448
1	0.5954339342
2	0.5658255355
3	0.5444888923
4	0.5269865657
5	0.513031613
6	0.5024453709
7	0.4930542035
8	0.4858180551
9	0.4794426265
10	0.4741186857
11	0.4700090585
12	0.4657133898
13	0.4624299608
14	0.4592004122
15	0.456837723
16	0.4532319899
17	0.4507141251
18	0.445290155
19	0.4433733284
20	0.4410251837
21	0.4395360301
22	0.4380883548
23	0.4368499408
24	0.4318225901
25	0.4306585767
26	0.4292171693
27	0.4280485953
28	0.4268864374
29	0.4260754235
30	0.4230199402
31	0.422364299
32	0.4215053462
33	0.4204928498
34	0.4191733322
35	0.4184919824
36	0.4179304169
37	0.4169049744
38	0.4163118989
39	0.415297218
40	0.414662797
41	0.4134716493
42	0.412822927
43	0.4120753759
44	0.4115364885
45	0.4110204934
46	0.4106463624
47	0.410168437
48	0.4096646321
49	0.4093075082
50	0.4089359029
51	0.4084753528
52	0.405995297
53	0.4054255889
54	0.4051169251
55	0.4045833459
56	0.4041241435
57	0.4037309984
58	0.4034093995
59	0.402966016
60	0.4016466305
61	0.4012535386
62	0.4007824668
63	0.4005220011
64	0.4001358474
65	0.3997761667
66	0.3994760865
67	0.3992333407
68	0.3989533102
69	0.398644183
70	0.3983911862
71	0.3981733151
72	0.3965130511
73	0.3962029561
74	0.3959680653
75	0.3957030244
76	0.3954559319
77	0.3951178265
78	0.394789016
79	0.3945361056
80	0.3943271239
81	0.3940575279
82	0.3937450899
83	0.3934969268
84	0.3932755255
85	0.3930238225
86	0.3928891826
87	0.3927239807
88	0.3925714859
89	0.3923708758
90	0.392069351
91	0.3918792656
92	0.3916388255
93	0.3914330069
94	0.3912356843
95	0.3910852855
96	0.3907365783
97	0.3905029523
98	0.3903119478
99	0.3901015013
100	0.3892296615
101	0.389042272
102	0.3888614097
103	0.3886538284
104	0.3881717661
105	0.3872280008
106	0.3870414033
107	0.3868554671
108	0.3867289211
109	0.3865552058
110	0.3863859713
111	0.3861876047
112	0.3860060831
113	0.3858547627
114	0.3857130259
115	0.3855432516
